frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m,latency_ms
0,1,1,1.0,1.0,-0.7344,50.05
1,1,1,1.0,1.0,-0.8108,70.43
2,1,1,1.0,1.0,-0.8436,81.54
3,1,1,1.0,1.0,-0.8556,81.76
4,1,1,1.0,1.0,-0.7239,72.63
5,1,1,1.0,1.0,-0.8445,81.77
6,1,1,1.0,1.0,-0.8405,74.48
7,1,1,1.0,1.0,-0.8471,69.83
8,1,1,1.0,1.0,-0.8148,95.23
9,1,1,1.0,1.0,-0.9322,77.53
10,1,1,1.0,1.0,-0.8999,79.96
11,1,1,1.0,1.0,-0.7574,76.48
12,1,1,1.0,1.0,-0.77,78.79
13,1,1,1.0,1.0,-0.8585,72.99
14,1,1,1.0,1.0,-0.8492,82.83
15,1,1,1.0,1.0,-0.8635,70.58
16,1,1,1.0,1.0,-0.8448,79.0
17,1,1,1.0,1.0,-0.8424,92.08
18,1,1,1.0,1.0,-0.8544,73.46
19,1,1,1.0,1.0,-0.8605,82.41
20,1,1,1.0,1.0,-0.8633,81.04
21,1,1,1.0,1.0,-0.8622,78.43
22,1,1,1.0,1.0,-0.8648,79.23
23,1,1,1.0,1.0,-0.8761,75.12
24,1,1,1.0,1.0,-0.8548,84.1
25,1,1,1.0,1.0,-0.8863,79.89
26,1,1,1.0,1.0,-0.8559,86.71
27,1,1,1.0,1.0,-0.8529,73.03
28,1,1,1.0,1.0,-0.8465,86.9
29,1,1,1.0,1.0,-0.8443,75.41
30,1,1,1.0,1.0,-0.8645,76.41
31,1,1,1.0,1.0,-0.8557,71.06
32,1,1,1.0,1.0,-0.8592,91.91
33,1,1,1.0,1.0,-0.8612,83.35
34,1,1,1.0,1.0,-0.8716,95.95
35,1,1,1.0,1.0,-0.8388,80.23
36,1,1,1.0,1.0,-0.8913,80.55
37,1,1,1.0,1.0,-0.8717,83.73
38,1,1,1.0,1.0,-0.8989,83.18
39,1,1,1.0,1.0,-0.8728,73.66
40,1,1,1.0,1.0,-0.8471,74.94
41,1,1,1.0,1.0,-0.8595,80.98
42,1,1,1.0,1.0,-0.832,73.94
43,1,1,1.0,1.0,-0.8718,79.62
44,1,1,1.0,1.0,-0.8225,68.14
45,1,1,1.0,1.0,-0.8551,79.89
46,1,1,1.0,1.0,-0.8682,72.01
47,1,1,1.0,1.0,-0.8655,76.16
48,1,1,1.0,1.0,-0.8934,78.32
49,1,1,1.0,1.0,-0.8873,159.1
50,1,1,1.0,1.0,-0.8791,93.12
51,1,1,1.0,1.0,-0.8203,85.85
52,1,1,1.0,1.0,-0.8643,74.91
53,1,1,1.0,1.0,-0.8571,75.05
54,1,1,1.0,1.0,-0.8581,70.06
55,1,1,1.0,1.0,-0.8612,75.2
56,1,1,1.0,1.0,-0.8557,70.24
57,1,1,1.0,1.0,-0.8635,78.13
58,1,1,1.0,1.0,-0.8475,76.01
59,1,1,1.0,1.0,-0.8547,78.28
60,1,1,1.0,1.0,-0.8591,73.48
61,1,1,1.0,1.0,-0.8694,85.32
62,1,1,1.0,1.0,-0.8617,66.21
63,1,1,1.0,1.0,-0.8773,85.3
64,1,1,1.0,1.0,-0.9024,81.14
65,1,1,1.0,1.0,-0.8374,74.39
66,1,1,1.0,1.0,-0.8628,74.02
67,1,1,1.0,1.0,-0.8624,89.11
68,1,1,1.0,1.0,-0.87,78.24
69,1,1,1.0,1.0,-0.8492,88.54
70,1,1,1.0,1.0,-0.8573,71.22
71,1,1,1.0,1.0,-0.8407,97.43
72,1,1,1.0,1.0,-0.8649,82.41
73,1,1,1.0,1.0,-0.8273,76.05
74,1,1,1.0,1.0,-0.8457,81.89
75,1,1,1.0,1.0,-0.8666,87.32
76,1,1,1.0,1.0,-0.7923,80.56
77,1,1,1.0,1.0,-0.805,85.32
78,1,1,1.0,1.0,-0.8951,84.4
79,1,1,1.0,1.0,-0.8762,68.47
